,serialNm,tradeYM,tradeDay,buildYear,dong,aptName,jySize,floor,price,siguCode,dongCode,add1
64,11680-280,2020-05,16,1992, 개포동,성원대치2단지아파트,33.18,13,87000,11680,10300,12
65,11680-391,2020-05,16,1983, 개포동,개포주공 5단지,53.98,5,157000,11680,10300,187
66,11680-290,2020-05,16,1983, 개포동,개포주공 6단지,53.06,3,146000,11680,10300,185
67,11680-578,2020-05,17,1983, 개포동,개포주공 7단지,53.46,8,144500,11680,10300,185
68,11680-280,2020-05,18,1992, 개포동,성원대치2단지아파트,49.86,6,119000,11680,10300,12
69,,2020-05,19,2019, 개포동,래미안블레스티지,84.95,6,230000,11680,10300,1280
70,11680-279,2020-05,20,1992, 개포동,삼익대청아파트,60,11,130300,11680,10300,12
71,,2020-05,21,2019, 개포동,디에이치아너힐즈,59.75,6,188000,11680,10300,138
72,11680-280,2020-05,22,1992, 개포동,성원대치2단지아파트,39.53,2,102000,11680,10300,12
73,11680-280,2020-05,23,1992, 개포동,성원대치2단지아파트,33.18,4,89000,11680,10300,12
74,11680-578,2020-05,23,1983, 개포동,개포주공 7단지,53.46,10,150000,11680,10300,185
75,11680-391,2020-05,23,1983, 개포동,개포주공 5단지,74.25,2,177000,11680,10300,187
76,11680-280,2020-05,27,1992, 개포동,성원대치2단지아파트,33.18,8,89500,11680,10300,12
77,11680-280,2020-05,27,1992, 개포동,성원대치2단지아파트,49.86,9,115000,11680,10300,12
78,11680-280,2020-05,27,1992, 개포동,성원대치2단지아파트,49.86,8,118000,11680,10300,12
79,11680-292,2020-05,28,1984, 개포동,현대1차101동~106동,95.4,11,185000,11680,10300,653
80,11680-280,2020-05,30,1992, 개포동,성원대치2단지아파트,49.86,10,117500,11680,10300,12
81,11680-280,2020-05,31,1992, 개포동,성원대치2단지아파트,49.86,15,120000,11680,10300,12
82,11680-578,2020-05,31,1983, 개포동,개포주공 7단지,73.26,6,180000,11680,10300,185
83,11680-4359,2020-05,1,2015, 청담동,청담아르지움,22.57,5,39000,11680,10400,32
84,11680-474,2020-05,9,2004, 청담동,대우유로카운티,105.66,4,165000,11680,10400,50-5
85,11680-56,2020-05,12,1999, 청담동,연세리버빌3,243.21,3,327000,11680,10400,104
86,11680-3773,2020-05,16,2007, 청담동,청담3차이편한세상,84.97,3,155300,11680,10400,44-21
87,11680-412,2020-05,19,2003, 청담동,영풍마드레빌,122.2,11,170000,11680,10400,36
88,11680-4004,2020-05,20,2011, 청담동,청담자이,49.619,14,163000,11680,10400,134-38
89,11680-73,2020-05,23,1999, 청담동,청담우방,118.53,8,185000,11680,10400,43
90,11680-62,2020-05,27,1984, 청담동,진흥아파트,180.67,9,270000,11680,10400,65
91,11680-33,2020-05,28,1999, 청담동,삼성청담아파트,114.83,2,150000,11680,10400,42
92,11680-99,2020-05,28,2002, 청담동,이니그마빌2,230.69,3,396000,11680,10400,90-10
93,11680-34,2020-05,29,1999, 청담동,삼성청담공원아파트,107.22,8,173500,11680,10400,60
94,11680-3650,2020-05,30,2006, 청담동,청담2차e-편한세상,84.41,7,154000,11680,10400,14
95,11680-508,2020-05,4,2003, 삼성동,SM드림빌,52.79,2,59000,11680,10500,29-11
96,11680-3830,2020-05,6,2008, 삼성동,현대힐스테이트 2단지,84.435,18,210000,11680,10500,50
97,11680-434,2020-05,7,2003, 삼성동,LG선릉에클라트(A),36.16,4,34500,11680,10500,142-7
98,11680-200,2020-05,8,1981, 삼성동,홍실아파트,94.26,5,235000,11680,10500,79
99,11680-195,2020-05,11,2001, 삼성동,한일,80.29,3,149000,11680,10500,48
100,11680-3937,2020-05,11,2010, 삼성동,삼성동헤렌하우스2(82-4),183.99,4,280000,11680,10500,82-4
101,11680-3830,2020-05,13,2008, 삼성동,현대힐스테이트 2단지,84.236,9,232000,11680,10500,50
102,11680-403,2020-05,16,2003, 삼성동,쌍용플래티넘,152.25,19,194000,11680,10500,117
103,11680-524,2020-05,16,2004, 삼성동,우정에쉐르2,59.64,4,74000,11680,10500,144-10
104,11680-200,2020-05,20,1981, 삼성동,홍실아파트,96.32,9,260000,11680,10500,79
105,11680-3641,2020-05,20,2005, 삼성동,삼성동 롯데캐슬 킹덤,170.8,2,260000,11680,10500,43
106,11680-522,2020-05,20,2004, 삼성동,LG선릉에클라트(B),36.35,13,32700,11680,10500,142-3
107,11680-3834,2020-05,23,2008, 삼성동,삼성동힐스테이트 1단지,84.236,20,221000,11680,10500,16-2
108,11680-168,2020-05,24,2000, 삼성동,삼성동롯데아파트,59.4,13,137000,11680,10500,17
109,11680-3834,2020-05,26,2008, 삼성동,삼성동힐스테이트 1단지,114.463,17,250000,11680,10500,16-2
110,11680-522,2020-05,27,2004, 삼성동,LG선릉에클라트(B),36.35,15,37500,11680,10500,142-3
111,11680-3936,2020-05,27,2010, 삼성동,삼성동헤렌하우스2(82-1),217.86,6,340000,11680,10500,82-1
112,11680-3581,2020-05,28,1992, 삼성동,시티(B동),157.63,7,212000,11680,10500,97-2
113,11680-507,2020-05,30,2004, 삼성동,삼성동중앙하이츠빌리지,152.98,3,257000,11680,10500,14-1
114,11680-3834,2020-05,30,2008, 삼성동,삼성동힐스테이트 1단지,84.503,12,209500,11680,10500,16-2
115,11680-218,2020-05,1,1979, 대치동,은마,76.79,2,178000,11680,10600,316
116,11680-216,2020-05,2,1984, 대치동,개포우성2,84.69,10,230000,11680,10600,500
117,11680-218,2020-05,2,1979, 대치동,은마,84.43,8,194000,11680,10600,316
118,11680-218,2020-05,5,1979, 대치동,은마,84.43,12,201000,11680,10600,316
119,11680-481,2020-05,6,1985, 대치동,한보미도맨션2,115.05,2,253000,11680,10600,511
120,11680-218,2020-05,7,1979, 대치동,은마,76.79,14,183000,11680,10600,316
121,11680-481,2020-05,7,1985, 대치동,한보미도맨션2,126.33,14,269000,11680,10600,511
122,11680-373,2020-05,7,1983, 대치동,"쌍용대치아파트1동, 2동, 3동, 5동, 6동",128.03,4,242500,11680,10600,66
123,11680-218,2020-05,7,1979, 대치동,은마,84.43,10,215500,11680,10600,316
124,11680-218,2020-05,7,1979, 대치동,은마,76.79,9,188000,11680,10600,316
125,11680-218,2020-05,7,1979, 대치동,은마,84.43,10,199500,11680,10600,316
126,11680-207,2020-05,8,1999, 대치동,대치효성,84.94,12,155000,11680,10600,988-4
127,11680-218,2020-05,8,1979, 대치동,은마,76.79,6,186000,11680,10600,316
128,11680-601,2020-05,11,2005, 대치동,동부센트레빌,145.83,15,333000,11680,10600,670
129,11680-4394,2020-05,11,2015, 대치동,래미안대치팰리스,84.99,6,293000,11680,10600,1027
130,11680-3752,2020-05,11,2008, 대치동,대치아이파크,59.96,3,177000,11680,10600,888
131,11680-218,2020-05,12,1979, 대치동,은마,84.43,13,207000,11680,10600,316
132,11680-218,2020-05,12,1979, 대치동,은마,84.43,7,207500,11680,10600,316
133,11680-218,2020-05,12,1979, 대치동,은마,84.43,3,204000,11680,10600,316
134,11680-218,2020-05,12,1979, 대치동,은마,76.79,12,187000,11680,10600,316
135,11680-205,2020-05,13,2000, 대치동,대치삼성,59.88,3,156500,11680,10600,1014-3
136,11680-218,2020-05,14,1979, 대치동,은마,76.79,7,189000,11680,10600,316
137,11680-218,2020-05,14,1979, 대치동,은마,76.79,4,181000,11680,10600,316
138,11680-206,2020-05,15,1999, 대치동,대치현대,101.6,3,200000,11680,10600,974
139,11680-372,2020-05,15,1983, 대치동,개포우성1,84.81,14,240000,11680,10600,503
140,11680-218,2020-05,15,1979, 대치동,은마,76.79,1,176600,11680,10600,316
141,11680-218,2020-05,15,1979, 대치동,은마,76.79,3,183500,11680,10600,316
142,11680-601,2020-05,17,2005, 대치동,동부센트레빌,145.83,22,345000,11680,10600,670
143,11680-218,2020-05,18,1979, 대치동,은마,76.79,7,195000,11680,10600,316
144,11680-218,2020-05,19,1979, 대치동,은마,76.79,13,194000,11680,10600,316
145,11680-218,2020-05,19,1979, 대치동,은마,76.79,13,188500,11680,10600,316
146,11680-218,2020-05,19,1979, 대치동,은마,76.79,14,186000,11680,10600,316
147,11680-4394,2020-05,20,2015, 대치동,래미안대치팰리스,91.91,20,300000,11680,10600,1027
148,11680-218,2020-05,22,1979, 대치동,은마,76.79,10,193000,11680,10600,316
149,11680-3752,2020-05,22,2008, 대치동,대치아이파크,84.93,7,231000,11680,10600,888
150,11680-222,2020-05,22,1983, 대치동,한보미도맨션1,128.01,5,285000,11680,10600,511
151,11680-222,2020-05,22,1983, 대치동,한보미도맨션1,128.01,2,275000,11680,10600,511
152,11680-222,2020-05,22,1983, 대치동,한보미도맨션1,128.01,3,280000,11680,10600,511
153,11680-218,2020-05,23,1979, 대치동,은마,76.79,4,185000,11680,10600,316
154,11680-4394,2020-05,26,2015, 대치동,래미안대치팰리스,84.99,22,290000,11680,10600,1027
155,11680-205,2020-05,27,2000, 대치동,대치삼성,97.35,7,229000,11680,10600,1014-3
156,11680-216,2020-05,30,1984, 대치동,개포우성2,127.78,15,280000,11680,10600,500
157,11680-4394,2020-05,30,2015, 대치동,래미안대치팰리스,91.93,16,294000,11680,10600,1027
158,11680-3559,2020-05,31,1985, 대치동,선경2차(8동-12동),127.75,10,315000,11680,10600,506
159,11680-2,2020-05,6,2001, 신사동,압구정대원칸타빌아파트,81.25,6,119000,11680,10700,659
160,11680-541,2020-05,25,2004, 신사동,유로미A동,84.83,5,80000,11680,10700,547-7
161,11680-3673,2020-05,25,2006, 신사동,신사아이빌,84.93,5,81700,11680,10700,522
162,11680-1,2020-05,30,1974, 신사동,강남상가,63.31,4,51000,11680,10700,510-11
163,11680-3705,2020-05,5,2006, 논현동,한화꿈에그린2차,83.7,2,104500,11680,10800,194-23
164,11680-4356,2020-05,7,2014, 논현동,아크로힐스논현,113.231,10,214000,11680,10800,276-1
165,11680-128,2020-05,8,1996, 논현동,세호시티라이프,45.04,5,33500,11680,10800,122-25
166,11680-551,2020-05,11,2004, 논현동,마일스디오빌,36.29,3,36400,11680,10800,58-2
167,11680-109,2020-05,13,1997, 논현동,신동아(22),35.73,4,80000,11680,10800,22
168,11680-4356,2020-05,13,2014, 논현동,아크로힐스논현,84.074,14,192000,11680,10800,276-1
169,11680-121,2020-05,15,1985, 논현동,동현아파트 1~6,84.92,8,163000,11680,10800,105
170,11680-551,2020-05,19,2004, 논현동,마일스디오빌,36.29,10,36500,11680,10800,58-2
171,11680-109,2020-05,22,1997, 논현동,신동아(22),35.73,5,80000,11680,10800,22
172,11680-473,2020-05,26,2004, 논현동,동양파라곤,180.07,6,295000,11680,10800,245
173,11680-381,2020-05,1,1978, 압구정동,한양4,101.09,2,200000,11680,11000,486
174,11680-422,2020-05,2,1980, 압구정동,현대8차(성수현대:91~95동),107.64,6,220000,11680,11000,481
175,11680-425,2020-05,2,1983, 압구정동,신현대11차,170.81,12,427000,11680,11000,433
176,11680-20,2020-05,4,1987, 압구정동,미성2차,118.63,4,240000,11680,11000,397
177,11680-426,2020-05,4,1982, 압구정동,신현대12차,182.95,5,409000,11680,11000,434
178,11680-423,2020-05,6,1982, 압구정동,신현대9차,152.28,8,348000,11680,11000,426
179,11680-20,2020-05,7,1987, 압구정동,미성2차,140.9,5,272500,11680,11000,397
180,11680-417,2020-05,7,1976, 압구정동,현대3차(61~64동),82.5,1,195000,11680,11000,443
181,11680-378,2020-05,7,1977, 압구정동,한양1차(영동한양),63.87,3,180000,11680,11000,490
182,11680-378,2020-05,8,1977, 압구정동,한양1차(영동한양),63.87,11,186000,11680,11000,490
183,11680-419,2020-05,8,1977, 압구정동,"현대5차(71,72동)",82.23,5,238000,11680,11000,455
184,11680-379,2020-05,9,1978, 압구정동,한양2,175.92,2,314000,11680,11000,493
185,11680-422,2020-05,9,1980, 압구정동,현대8차(성수현대:91~95동),107.64,3,221000,11680,11000,481
186,11680-419,2020-05,9,1977, 압구정동,"현대5차(71,72동)",82.23,10,240000,11680,11000,455
187,11680-382,2020-05,9,1979, 압구정동,한양5,100.5,5,209000,11680,11000,513
188,11680-380,2020-05,9,1978, 압구정동,한양3,117.26,2,245000,11680,11000,489
189,11680-20,2020-05,11,1987, 압구정동,미성2차,74.4,7,185000,11680,11000,397
190,11680-423,2020-05,11,1982, 압구정동,신현대9차,111.38,6,240000,11680,11000,426
191,11680-378,2020-05,13,1977, 압구정동,한양1차(영동한양),63.87,2,180000,11680,11000,490
192,11680-379,2020-05,13,1978, 압구정동,한양2,175.92,6,349000,11680,11000,493
193,11680-378,2020-05,16,1977, 압구정동,한양1차(영동한양),63.87,3,180000,11680,11000,490
194,11680-420,2020-05,16,1978, 압구정동,"현대6차(78~81,83,84,86,87동)",157.36,5,360000,11680,11000,456
195,11680-385,2020-05,16,1982, 압구정동,미성1차,180.53,2,320000,11680,11000,414
196,11680-415,2020-05,18,1976, 압구정동,"현대1차(12,13,21,22,31,32,33동)",161.19,8,350000,11680,11000,369-1
197,11680-424,2020-05,18,1982, 압구정동,"현대10차(201,202동)",108.15,8,237000,11680,11000,436
198,11680-415,2020-05,18,1976, 압구정동,"현대1차(12,13,21,22,31,32,33동)",131.48,4,283000,11680,11000,369-1
199,11680-423,2020-05,19,1982, 압구정동,신현대9차,108.88,6,250000,11680,11000,426
200,11680-420,2020-05,20,1978, 압구정동,"현대6차(78~81,83,84,86,87동)",144.2,2,328000,11680,11000,456
201,11680-421,2020-05,20,1979, 압구정동,"현대7차(73~77,82,85동)",157.36,6,360000,11680,11000,456
202,11680-417,2020-05,22,1976, 압구정동,현대3차(61~64동),82.5,8,220000,11680,11000,443
203,11680-416,2020-05,25,1976, 압구정동,"현대2차(10,11,20,23,24,25동)",198.41,11,470000,11680,11000,369-1
204,11680-421,2020-05,25,1979, 압구정동,"현대7차(73~77,82,85동)",196.7,4,451000,11680,11000,456
205,11680-422,2020-05,26,1980, 압구정동,현대8차(성수현대:91~95동),107.64,10,235000,11680,11000,481
206,11680-428,2020-05,26,1987, 압구정동,"현대14차(203,204,205,206동)",84.98,7,256000,11680,11000,447
207,11680-378,2020-05,28,1977, 압구정동,한양1차(영동한양),63.87,3,183000,11680,11000,490
208,11680-428,2020-05,28,1987, 압구정동,"현대14차(203,204,205,206동)",84.94,13,245000,11680,11000,447
209,11680-426,2020-05,28,1982, 압구정동,신현대12차,107.16,10,243000,11680,11000,434
210,11680-415,2020-05,28,1976, 압구정동,"현대1차(12,13,21,22,31,32,33동)",161.18,12,310000,11680,11000,369-1
211,11680-380,2020-05,29,1978, 압구정동,한양3,116.94,8,263400,11680,11000,489
212,11680-420,2020-05,30,1978, 압구정동,"현대6차(78~81,83,84,86,87동)",157.36,7,360000,11680,11000,456
213,11680-4090,2020-05,9,2012, 세곡동,세곡푸르지오,59.89,9,110000,11680,11100,533
214,11680-3964,2020-05,23,2011, 세곡동,강남신동아파밀리에2단지,84.97,9,116700,11680,11100,511
215,11680-4003,2020-05,23,2011, 세곡동,강남데시앙파크,84.95,5,115000,11680,11100,525
216,11680-4003,2020-05,23,2011, 세곡동,강남데시앙파크,114.69,8,132000,11680,11100,525
217,11680-4090,2020-05,27,2012, 세곡동,세곡푸르지오,74.74,15,123000,11680,11100,533
218,11680-4319,2020-05,1,2014, 자곡동,래미안강남힐즈,101.94,7,158000,11680,11200,611
219,11680-4332,2020-05,15,2014, 자곡동,엘에이치강남아이파크,84.92,3,144000,11680,11200,602
220,11680-4319,2020-05,22,2014, 자곡동,래미안강남힐즈,91.95,15,148500,11680,11200,611
221,11680-4341,2020-05,23,2014, 자곡동,엘에이치강남브리즈힐,74.44,8,93000,11680,11200,618
222,11680-310,2020-05,9,1984, 일원동,개포한신,107.6,11,175000,11680,11400,615-1
223,11680-311,2020-05,11,1987, 일원동,현대4,84.96,7,149000,11680,11400,614
224,11680-305,2020-05,14,1992, 일원동,수서,51.76,10,95500,11680,11400,711
225,11680-304,2020-05,18,1994, 일원동,샘터마을,134.438,14,200000,11680,11400,718
226,11680-306,2020-05,18,1987, 일원동,우성7,84.06,3,171500,11680,11400,615
227,11680-302,2020-05,20,1986, 일원동,삼성,61.35,4,110000,11680,11400,626
228,,2020-05,20,2018, 일원동,래미안 개포 루체하임,168.78,1,245000,11680,11400,741
229,11680-308,2020-05,22,1994, 일원동,푸른마을 아파트 101동~111동,84.93,5,148500,11680,11400,719
230,11680-306,2020-05,23,1987, 일원동,우성7,83.69,6,175000,11680,11400,615
231,11680-308,2020-05,23,1994, 일원동,푸른마을 아파트 101동~111동,84.93,5,145000,11680,11400,719
232,11680-305,2020-05,25,1992, 일원동,수서,39.98,2,83500,11680,11400,711
233,11680-308,2020-05,25,1994, 일원동,푸른마을 아파트 101동~111동,59.76,6,116000,11680,11400,719
234,11680-308,2020-05,29,1994, 일원동,푸른마을 아파트 101동~111동,84.93,5,148000,11680,11400,719
235,11680-314,2020-05,1,1993, 수서동,까치마을,34.44,13,79000,11680,11500,746
236,11680-316,2020-05,5,1997, 수서동,삼성,84.97,12,148700,11680,11500,747
237,11680-314,2020-05,14,1993, 수서동,까치마을,34.44,9,78500,11680,11500,746
238,11680-318,2020-05,14,1993, 수서동,수서한아름,97.63,9,143000,11680,11500,712
239,11680-316,2020-05,16,1997, 수서동,삼성,84.97,2,143500,11680,11500,747
240,11680-314,2020-05,19,1993, 수서동,까치마을,49.5,11,111250,11680,11500,746
241,11680-319,2020-05,19,1992, 수서동,신동아,39.51,15,90000,11680,11500,736
242,11680-314,2020-05,23,1993, 수서동,까치마을,49.5,4,110000,11680,11500,746
243,11680-318,2020-05,25,1993, 수서동,수서한아름,97.63,12,146000,11680,11500,712
244,11680-314,2020-05,28,1993, 수서동,까치마을,34.44,11,78000,11680,11500,746
245,11680-4510,2020-05,28,2016, 수서동,강남 더샵 포레스트,124.5802,10,232000,11680,11500,537
246,11680-314,2020-05,30,1993, 수서동,까치마을,39.6,6,89900,11680,11500,746
247,11680-317,2020-05,30,1992, 수서동,삼익,49.2,11,99500,11680,11500,708
248,11680-319,2020-05,30,1992, 수서동,신동아,49.96,11,105000,11680,11500,736
249,11680-331,2020-05,2,2001, 도곡동,삼성래미안,122.81,4,230000,11680,11800,91-5
250,11680-348,2020-05,4,2002, 도곡동,포스코트,209.03,4,245000,11680,11800,164-6
251,11680-3623,2020-05,4,2006, 도곡동,도곡렉슬,84.9984,16,230000,11680,11800,527
252,11680-470,2020-05,5,2004, 도곡동,타워팰리스3,141.381,24,265000,11680,11800,467-29
253,11680-3623,2020-05,5,2006, 도곡동,도곡렉슬,176.9924,21,390000,11680,11800,527
254,11680-364,2020-05,6,2002, 도곡동,타워팰리스1,164.97,27,280000,11680,11800,467
255,11680-365,2020-05,6,2003, 도곡동,타워팰리스2,156.5,41,290000,11680,11800,467-17
256,11680-364,2020-05,8,2002, 도곡동,타워팰리스1,164.97,43,298000,11680,11800,467
257,11680-3962,2020-05,8,1978, 도곡동,도곡쌍용예가,107.53,3,184800,11680,11800,933
258,11680-3623,2020-05,9,2006, 도곡동,도곡렉슬,59.9818,13,179000,11680,11800,527
259,11680-3623,2020-05,9,2006, 도곡동,도곡렉슬,120.8233,21,258500,11680,11800,527
260,11680-3623,2020-05,9,2006, 도곡동,도곡렉슬,84.9984,3,230000,11680,11800,527
261,11680-331,2020-05,11,2001, 도곡동,삼성래미안,84.76,20,190000,11680,11800,91-5
262,11680-3623,2020-05,11,2006, 도곡동,도곡렉슬,59.9937,11,160000,11680,11800,527
263,11680-470,2020-05,11,2004, 도곡동,타워팰리스3,185.622,63,350000,11680,11800,467-29
264,11680-339,2020-05,11,1986, 도곡동,역삼우성,84.83,14,148000,11680,11800,934-10
265,11680-327,2020-05,13,1995, 도곡동,럭키(963),84.97,3,140000,11680,11800,963
266,11680-354,2020-05,14,1999, 도곡동,현대비젼21,32.65,19,32000,11680,11800,467-19
267,11680-470,2020-05,14,2004, 도곡동,타워팰리스3,141.381,51,245000,11680,11800,467-29
268,11680-365,2020-05,14,2003, 도곡동,타워팰리스2,144.63,31,252000,11680,11800,467-17
269,11680-320,2020-05,15,2005, 도곡동,경남,59.76,5,140000,11680,11800,967
270,11680-3878,2020-05,15,2010, 도곡동,도곡지웰카운티 102동,125.49,4,183000,11680,11800,199-1
271,11680-328,2020-05,16,1999, 도곡동,매봉삼성,84.95,15,145000,11680,11800,966
272,11680-3623,2020-05,16,2006, 도곡동,도곡렉슬,120.8233,20,264500,11680,11800,527
273,11680-344,2020-05,16,1997, 도곡동,중명하니빌,46,4,41900,11680,11800,965
274,11680-327,2020-05,18,1995, 도곡동,럭키(963),84.97,2,150500,11680,11800,963
275,11680-3623,2020-05,18,2006, 도곡동,도곡렉슬,114.9931,19,290000,11680,11800,527
276,11680-340,2020-05,19,1998, 도곡동,우성캐릭터199,132.94,23,165000,11680,11800,467-24
277,11680-3623,2020-05,19,2006, 도곡동,도곡렉슬,119.8906,6,260000,11680,11800,527
278,11680-328,2020-05,20,1999, 도곡동,매봉삼성,84.95,5,139700,11680,11800,966
279,11680-470,2020-05,21,2004, 도곡동,타워팰리스3,163.702,23,290000,11680,11800,467-29
280,11680-3647,2020-05,22,2006, 도곡동,SK허브프리모,69.18,9,70000,11680,11800,953-1
281,11680-3681,2020-05,22,2006, 도곡동,도곡스타빌,53.81,3,46500,11680,11800,514-3
282,11680-337,2020-05,23,1985, 도곡동,우성4,84.6,5,190000,11680,11800,465
283,11680-4173,2020-05,23,2016, 도곡동,래미안도곡카운티,71.85,2,212000,11680,11800,538-3
284,11680-3623,2020-05,23,2006, 도곡동,도곡렉슬,119.8906,22,265000,11680,11800,527
285,11680-323,2020-05,25,1999, 도곡동,대림아크로빌,130.545,24,177000,11680,11800,467-6
286,11680-470,2020-05,25,2004, 도곡동,타워팰리스3,141.648,47,255000,11680,11800,467-29
287,11680-365,2020-05,25,2003, 도곡동,타워팰리스2,115.63,18,232000,11680,11800,467-17
288,11680-365,2020-05,26,2003, 도곡동,타워팰리스2,156.5,36,230000,11680,11800,467-17
289,11680-331,2020-05,27,2001, 도곡동,삼성래미안,122.81,6,239000,11680,11800,91-5
290,11680-349,2020-05,28,1985, 도곡동,한신(개포),52.73,7,155000,11680,11800,464
291,11680-365,2020-05,28,2003, 도곡동,타워팰리스2,159.44,24,283000,11680,11800,467-17
292,11680-364,2020-05,28,2002, 도곡동,타워팰리스1,174.67,26,220000,11680,11800,467
293,11680-364,2020-05,28,2002, 도곡동,타워팰리스1,164.97,26,283000,11680,11800,467
294,11680-327,2020-05,29,1995, 도곡동,럭키(963),84.97,15,164000,11680,11800,963
295,11680-331,2020-05,29,2001, 도곡동,삼성래미안,84.76,22,193500,11680,11800,91-5
296,11680-323,2020-05,30,1999, 도곡동,대림아크로빌,138.657,45,189000,11680,11800,467-6
297,11680-3600,2020-05,30,2005, 도곡동,파크힐,88.77,5,89500,11680,11800,550-1
298,11680-3623,2020-05,30,2006, 도곡동,도곡렉슬,84.9984,12,235000,11680,11800,527
299,11680-3623,2020-05,30,2006, 도곡동,도곡렉슬,59.9818,8,183000,11680,11800,527
300,11680-3647,2020-05,30,2006, 도곡동,SK허브프리모,67.57,12,78000,11680,11800,953-1
